Gene	Direction
Kcnn2	Downreg
Kcnv1	Downreg
Kif26b	Downreg
Kif27	Downreg
Kirrel2	Downreg
Klf10	Downreg
Klf15	Downreg
Klf8	Downreg
Klhdc7b	Downreg
Klhl3	Downreg
Klhl32	Downreg
Lamc2	Downreg
Lef1	Downreg
Lhx2	Downreg
Lipg	Downreg
Llph	Downreg
Lonrf1	Downreg
Lratd2	Downreg
Lrit3	Downreg
Lrrd1	Downreg
Lrrk2	Downreg
Lrrtm1	Downreg
Lrrtm3	Downreg
Lzts3	Downreg
Map3k21	Downreg
Marchf4	Downreg
Mbd4	Downreg
Mettl11b	Downreg
Mex3a	Downreg
Mfge8	Downreg
Mfsd2b	Downreg
Mgme1	Downreg
Mmel1	Downreg
Mmp28	Downreg
Mn1	Downreg
Mnat1	Downreg
Mpp2	Downreg
Mroh2a	Downreg
Mrpl32	Downreg
Mtif2	Downreg
Mtrr	Downreg
Mul1	Downreg
Mutyh	Downreg
Mybpc1	Downreg
Mylk3	Downreg
Myorg	Downreg
Mzf1	Downreg
Naaladl2	Downreg
Nanos1	Downreg
Nap1l2	Downreg
Napepld	Downreg
Ncald	Downreg
Ncoa5	Downreg
Ndufb2	Downreg
Nkd2	Downreg
Nle1	Downreg
Nme1	Downreg
Nol4	Downreg
Nos3	Downreg
Notch4	Downreg
Nptx2	Downreg
Npy5r	Downreg
Nr4a1	Downreg
Nr4a3	Downreg
Nrarp	Downreg
Nrbp1	Downreg
Ntng1	Downreg
Nxt1	Downreg
Obsl1	Downreg
Ostn	Downreg
Otud1	Downreg
Oxnad1	Downreg
P3h1	Downreg
P4ha1	Downreg
Palmd	Downreg
Pard6a	Downreg
Pask	Downreg
Pcdha5	Downreg
Pcdhga7	Downreg
Pcp2	Downreg
Pcsk1	Downreg
Pdcd5	Downreg
Pdp1	Downreg
Pebp4	Downreg
Peli3	Downreg
Per1	Downreg
Per2	Downreg
Pex12	Downreg
Pgbd1	Downreg
Phf21a	Downreg
Phf21b	Downreg
Phf8	Downreg
Pick1	Downreg
Pin4	Downreg
Pitpnm3	Downreg
Plch1	Downreg
Plekha7	Downreg
Plekho2	Downreg
Pomgnt2	Downreg
Pou3f2	Downreg
Pou3f3	Downreg
Ppp1r3g	Downreg
Prdm15	Downreg
Prpf3	Downreg
Psd	Downreg
Pspn	Downreg
Ptchd4	Downreg
Ptpn9	Downreg
Pygm	Downreg
Qrfpr	Downreg
R3hdm2	Downreg
Ramp2	Downreg
Rara	Downreg
Rasd1	Downreg
Rasgrf1	Downreg
Rasl11a	Downreg
Raver2	Downreg
Rbm12b1	Downreg
Rec8	Downreg
Ret	Downreg
Rgs8	Downreg
Rhbdl3	Downreg
Rnf219	Downreg
Rnf220	Downreg
Rpe65	Downreg
Rpusd4	Downreg
Rtl5	Downreg
Rundc1	Downreg
Runx1t1	Downreg
Rybp	Downreg
Ryr1	Downreg
S1pr1	Downreg
Saal1	Downreg
Samd10	Downreg
Samm50	Downreg
Sbk1	Downreg
Sbspon	Downreg
Scarf1	Downreg
Scn2a	Downreg
Sdk2	Downreg
Sec23ip	Downreg
Sema6c	Downreg
Serpinb8	Downreg
Serpini1	Downreg
Sertad4	Downreg
Setbp1	Downreg
Setd4	Downreg
Sgsm1	Downreg
Shisa9	Downreg
Siah2	Downreg
Siah3	Downreg
Sik1	Downreg
Six4	Downreg
Six5	Downreg
Slc18a3	Downreg
Slc22a3	Downreg
Slc23a3	Downreg
Slc2a3	Downreg
Slc39a2	Downreg
Slc9a5	Downreg
Smug1	Downreg
Snrpa1	Downreg
Sntg2	Downreg
Socs7	Downreg
Sowaha	Downreg
Sox11	Downreg
Sox18	Downreg
Spaca9	Downreg
Spata32	Downreg
Spice1	Downreg
Spink10	Downreg
Spred1	Downreg
Spred3	Downreg
Spry2	Downreg
Spry4	Downreg
Sptbn5	Downreg
Sst	Downreg
Sstr4	Downreg
Stk32b	Downreg
Stpg1	Downreg
Synj2bp	Downreg
Sypl2	Downreg
Tac2	Downreg
Tbc1d1	Downreg
Tcf7	Downreg
Tdg	Downreg
Tdp1	Downreg
Teddm1a	Downreg
Teddm3	Downreg
Tenm2	Downreg
Timeless	Downreg
Tiprl	Downreg
Tmem151b	Downreg
Tmem17	Downreg
Tmem204	Downreg
Tmem266	Downreg
Tmem28	Downreg
Tomm40	Downreg
Trib2	Downreg
Trim66	Downreg
Trim9	Downreg
Trmt9b	Downreg
Trp53rkb	Downreg
Trpc4	Downreg
Tsen2	Downreg
Ttc16	Downreg
Ttc9	Downreg
Ttf1	Downreg
Ubap1l	Downreg
Ufsp1	Downreg
Ushbp1	Downreg
Usp27x	Downreg
Vgf	Downreg
Vinac1	Downreg
Vwc2	Downreg
Vwc2l	Downreg
Wdcp	Downreg
Wdr78	Downreg
Wdr82	Downreg
Wdr90	Downreg
Xab2	Downreg
Xrcc2	Downreg
Ypel4	Downreg
Zbed4	Downreg
Zbed5	Downreg
Zbtb16	Downreg
Zbtb40	Downreg
Zbtb46	Downreg
Zbtb8b	Downreg
Zdbf2	Downreg
Zfp235	Downreg
Zfp280b	Downreg
Zfp334	Downreg
Zfp365	Downreg
Zfp366	Downreg
Zfp493	Downreg
Zfp503	Downreg
Zfp618	Downreg
Zfp667	Downreg
Zfp764	Downreg
Zfp786	Downreg
Zfp791	Downreg
Zfp975	Downreg
Zic5	Downreg
Zkscan4	Downreg
Zmym1	Downreg
Zswim3	Downreg
5430427O19Rik	Upreg
9930111J21Rik2	Upreg
A2m	Upreg
A630001G21Rik	Upreg
Abca1	Upreg
Abca9	Upreg
Abhd4	Upreg
Acaca	Upreg
Acat2	Upreg
